Occupation title (click on the occupation title to view its profile),Location quotient,Annual mean wage
Emergency Medical Technicians and Paramedics,1.03,45420
Dietetic Technicians,0.47,41520
Pharmacy Technicians,0.76,36250
Psychiatric Technicians,0.33,43460
Surgical Technologists,0.8,59620
Veterinary Technologists and Technicians,0.68,42960
Ophthalmic Medical Technicians,1.3,41190
Licensed Practical and Licensed Vocational Nurses,0.81,56610
"Opticians, Dispensing",0.64,58460
Orthotists and Prosthetists,0.41,82600
"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",0.62,55150
Athletic Trainers,0.78,53670
Genetic Counselors,1.4,90010
"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",0.31,76490
Healthcare Support Occupations,1.43,32790
Home Health and Personal Care Aides,1.95,28980
Nursing Assistants,1.01,38250
Orderlies,1.33,36220
Psychiatric Aides,1.35,41680
Occupational Therapy Assistants,0.82,69860
Occupational Therapy Aides,0.57,43150
Physical Therapist Assistants,0.72,60160
Physical Therapist Aides,1.76,29800
Massage Therapists,1.06,53270
Dental Assistants,0.94,42580
Medical Assistants,0.76,38940
Medical Equipment Preparers,1.15,45520
Medical Transcriptionists,0.66,35440
Pharmacy Aides,0.67,29830
Veterinary Assistants and Laboratory Animal Caretakers,0.64,32800
Phlebotomists,0.92,43650
"Healthcare Support Workers, All Other",1.18,39520
Protective Service Occupations,1.38,58210
First-Line Supervisors of Correctional Officers,0.7,108460
First-Line Supervisors of Police and Detectives,1.81,129440
First-Line Supervisors of Firefighting and Prevention Workers,0.92,124040
"Miscellaneous First-Line Supervisors, Protective Service Workers",1.61,60330
Firefighters,0.7,81470
Fire Inspectors and Investigators,2.23,59330
Bailiffs,2.21,75120
Correctional Officers and Jailers,0.78,71830
Detectives and Criminal Investigators,1.15,100550
Fish and Game Wardens,0.21,65490
Parking Enforcement Workers,1.71,42640
Police and Sheriff's Patrol Officers,1.32,83040
Transit and Railroad Police,4.94,69700
Animal Control Workers,0.63,45920
Private Detectives and Investigators,0.61,55340
Gambling Surveillance Officers and Gambling Investigators,0.14,39110
Security Guards,1.79,36560
Crossing Guards and Flaggers,2.56,38260
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.95,29640
Transportation Security Screeners,1.4,42970
"School Bus Monitors and Protective Service Workers, All Other",1.77,33300
Food Preparation and Serving Related Occupations,0.83,33150
Chefs and Head Cooks,2.02,63180
First-Line Supervisors of Food Preparation and Serving Workers,0.69,45180
"Cooks, Fast Food",0.35,26820
"Cooks, Institution and Cafeteria",0.55,37520
"Cooks, Restaurant",0.67,33680
"Cooks, Short Order",1.27,28500
"Cooks, All Other",0.8,34780
Food Preparation Workers,1.27,29390
Bartenders,0.91,39240
Fast Food and Counter Workers,0.71,26970
Waiters and Waitresses,0.93,35970
"Food Servers, Nonrestaurant",1.1,32330
